X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
2.121811,41.383735,"0","0","92",59.006,2026/06/01 13:27:15+00,,,,,,,,,,,,,,,,,,,,,
2.121827,41.383683,"0","0","93",59.026,2026/06/01 13:27:20+00,,,,,,,,,,,,,,,,,,,,,
2.121864,41.383639,"0","0","94",59.009,2026/06/01 13:27:24+00,,,,,,,,,,,,,,,,,,,,,
2.1219,41.383591,"0","0","95",59.08,2026/06/01 13:27:28+00,,,,,,,,,,,,,,,,,,,,,
2.121944,41.383555,"0","0","96",59.024,2026/06/01 13:27:32+00,,,,,,,,,,,,,,,,,,,,,
2.121927,41.383611,"0","0","97",58.945,2026/06/01 13:28:34+00,,,,,,,,,,,,,,,,,,,,,
2.121855,41.383612,"0","0","98",58.89,2026/06/01 13:29:06+00,,,,,,,,,,,,,,,,,,,,,
2.121782,41.383616,"0","0","99",58.774,2026/06/01 13:29:10+00,,,,,,,,,,,,,,,,,,,,,
2.121723,41.383605,"0","0","100",58.841,2026/06/01 13:29:14+00,,,,,,,,,,,,,,,,,,,,,
2.121654,41.383619,"0","0","101",58.922,2026/06/01 13:29:19+00,,,,,,,,,,,,,,,,,,,,,
2.12159,41.383612,"0","0","102",58.977,2026/06/01 13:29:26+00,,,,,,,,,,,,,,,,,,,,,
2.121524,41.383604,"0","0","103",58.823,2026/06/01 13:29:30+00,,,,,,,,,,,,,,,,,,,,,
2.121468,41.383578,"0","0","104",58.861,2026/06/01 13:29:34+00,,,,,,,,,,,,,,,,,,,,,
2.121429,41.383541,"0","0","105",58.621,2026/06/01 13:29:37+00,,,,,,,,,,,,,,,,,,,,,
2.121388,41.383491,"0","0","106",58.613,2026/06/01 13:29:41+00,,,,,,,,,,,,,,,,,,,,,
2.121362,41.383444,"0","0","107",58.609,2026/06/01 13:29:44+00,,,,,,,,,,,,,,,,,,,,,
2.121348,41.383398,"0","0","108",58.628,2026/06/01 13:29:48+00,,,,,,,,,,,,,,,,,,,,,
2.121363,41.383345,"0","0","109",58.872,2026/06/01 13:29:52+00,,,,,,,,,,,,,,,,,,,,,
2.121298,41.383323,"0","0","110",58.863,2026/06/01 13:29:59+00,,,,,,,,,,,,,,,,,,,,,
2.121233,41.383308,"0","0","111",58.818,2026/06/01 13:30:04+00,,,,,,,,,,,,,,,,,,,,,
2.121172,41.383296,"0","0","112",58.822,2026/06/01 13:30:09+00,,,,,,,,,,,,,,,,,,,,,
2.121116,41.383264,"0","0","113",58.879,2026/06/01 13:30:15+00,,,,,,,,,,,,,,,,,,,,,
2.121135,41.383221,"0","0","114",58.89,2026/06/01 13:30:19+00,,,,,,,,,,,,,,,,,,,,,
2.12115,41.383176,"0","0","115",58.825,2026/06/01 13:30:34+00,,,,,,,,,,,,,,,,,,,,,
2.121149,41.38313,"0","0","116",58.891,2026/06/01 13:30:43+00,,,,,,,,,,,,,,,,,,,,,
2.121203,41.383109,"0","0","117",58.864,2026/06/01 13:30:57+00,,,,,,,,,,,,,,,,,,,,,
2.121139,41.383119,"0","0","118",58.806,2026/06/01 13:31:07+00,,,,,,,,,,,,,,,,,,,,,
2.121078,41.383113,"0","0","119",58.916,2026/06/01 13:31:14+00,,,,,,,,,,,,,,,,,,,,,
2.12102,41.383096,"0","0","120",59.009,2026/06/01 13:31:20+00,,,,,,,,,,,,,,,,,,,,,
2.120963,41.38308,"0","0","121",59.098,2026/06/01 13:31:27+00,,,,,,,,,,,,,,,,,,,,,
2.120911,41.383053,"0","0","122",59.072,2026/06/01 13:31:36+00,,,,,,,,,,,,,,,,,,,,,
2.120835,41.383057,"0","0","123",59.153,2026/06/01 13:31:47+00,,,,,,,,,,,,,,,,,,,,,
2.120774,41.383082,"0","0","124",59.248,2026/06/01 13:32:36+00,,,,,,,,,,,,,,,,,,,,,
2.120716,41.383046,"0","0","125",59.222,2026/06/01 13:32:47+00,,,,,,,,,,,,,,,,,,,,,
2.120717,41.382999,"0","0","126",59.379,2026/06/01 13:33:20+00,,,,,,,,,,,,,,,,,,,,,
2.120737,41.382954,"0","0","127",59.39,2026/06/01 13:33:55+00,,,,,,,,,,,,,,,,,,,,,
2.12071,41.382912,"0","0","128",59.325,2026/06/01 13:34:20+00,,,,,,,,,,,,,,,,,,,,,
2.120773,41.382894,"0","0","129",59.321,2026/06/01 13:34:38+00,,,,,,,,,,,,,,,,,,,,,
2.120795,41.38285,"0","0","130",59.365,2026/06/01 13:35:01+00,,,,,,,,,,,,,,,,,,,,,
2.120827,41.382804,"0","0","131",59.368,2026/06/01 13:35:05+00,,,,,,,,,,,,,,,,,,,,,
2.120882,41.382764,"0","0","132",59.214,2026/06/01 13:35:19+00,,,,,,,,,,,,,,,,,,,,,
2.12086,41.382713,"0","0","133",59.109,2026/06/01 13:35:27+00,,,,,,,,,,,,,,,,,,,,,
2.120852,41.382636,"0","0","134",59.018,2026/06/01 13:35:33+00,,,,,,,,,,,,,,,,,,,,,
2.120818,41.382593,"0","0","135",57.052,2026/06/01 13:35:40+00,,,,,,,,,,,,,,,,,,,,,
2.120795,41.382546,"0","0","136",56.963,2026/06/01 13:35:46+00,,,,,,,,,,,,,,,,,,,,,
2.120755,41.382512,"0","0","137",56.748,2026/06/01 13:36:00+00,,,,,,,,,,,,,,,,,,,,,
2.120747,41.382461,"0","0","138",56.592,2026/06/01 13:36:08+00,,,,,,,,,,,,,,,,,,,,,
2.120807,41.382437,"0","0","139",56.459,2026/06/01 13:36:16+00,,,,,,,,,,,,,,,,,,,,,
2.120865,41.382404,"0","0","140",56.07,2026/06/01 13:36:22+00,,,,,,,,,,,,,,,,,,,,,
2.120924,41.382387,"0","0","141",55.665,2026/06/01 13:36:27+00,,,,,,,,,,,,,,,,,,,,,
2.120997,41.382389,"0","0","142",55.691,2026/06/01 13:36:34+00,,,,,,,,,,,,,,,,,,,,,
2.121024,41.382348,"0","0","143",55.679,2026/06/01 13:36:44+00,,,,,,,,,,,,,,,,,,,,,
2.121035,41.3823,"0","0","144",55.605,2026/06/01 13:36:50+00,,,,,,,,,,,,,,,,,,,,,
2.121067,41.382261,"0","0","145",55.625,2026/06/01 13:37:07+00,,,,,,,,,,,,,,,,,,,,,
2.121079,41.382215,"0","0","146",55.709,2026/06/01 13:37:14+00,,,,,,,,,,,,,,,,,,,,,
2.121091,41.382163,"0","0","147",55.799,2026/06/01 13:37:21+00,,,,,,,,,,,,,,,,,,,,,
2.121072,41.382116,"0","0","148",55.783,2026/06/01 13:37:26+00,,,,,,,,,,,,,,,,,,,,,
2.121136,41.382122,"0","0","149",55.684,2026/06/01 13:37:43+00,,,,,,,,,,,,,,,,,,,,,
2.121075,41.382143,"0","0","150",55.619,2026/06/01 13:37:59+00,,,,,,,,,,,,,,,,,,,,,
2.121019,41.382123,"0","0","151",55.613,2026/06/01 13:38:09+00,,,,,,,,,,,,,,,,,,,,,
2.120999,41.382074,"0","0","152",55.42,2026/06/01 13:38:16+00,,,,,,,,,,,,,,,,,,,,,
2.120993,41.382025,"0","0","153",55.181,2026/06/01 13:38:24+00,,,,,,,,,,,,,,,,,,,,,
2.120956,41.381984,"0","0","154",54.946,2026/06/01 13:38:33+00,,,,,,,,,,,,,,,,,,,,,
2.120912,41.381951,"0","0","155",54.812,2026/06/01 13:38:43+00,,,,,,,,,,,,,,,,,,,,,
2.120863,41.381918,"0","0","156",54.742,2026/06/01 13:38:52+00,,,,,,,,,,,,,,,,,,,,,
2.120841,41.381873,"0","0","157",54.522,2026/06/01 13:38:58+00,,,,,,,,,,,,,,,,,,,,,
2.120779,41.381855,"0","0","158",54.414,2026/06/01 13:39:05+00,,,,,,,,,,,,,,,,,,,,,
2.120737,41.381888,"0","0","159",54.409,2026/06/01 13:39:21+00,,,,,,,,,,,,,,,,,,,,,
2.120676,41.381911,"0","0","160",54.436,2026/06/01 13:39:29+00,,,,,,,,,,,,,,,,,,,,,
2.120649,41.381957,"0","0","161",54.44,2026/06/01 13:39:39+00,,,,,,,,,,,,,,,,,,,,,
2.120607,41.382004,"0","0","162",54.451,2026/06/01 13:39:46+00,,,,,,,,,,,,,,,,,,,,,
2.120605,41.382055,"0","0","163",54.466,2026/06/01 13:39:56+00,,,,,,,,,,,,,,,,,,,,,
2.120568,41.382092,"0","0","164",54.42,2026/06/01 13:40:14+00,,,,,,,,,,,,,,,,,,,,,
2.120523,41.382122,"0","0","165",54.587,2026/06/01 13:40:19+00,,,,,,,,,,,,,,,,,,,,,
2.120517,41.382171,"0","0","166",54.638,2026/06/01 13:40:24+00,,,,,,,,,,,,,,,,,,,,,
2.120506,41.382223,"0","0","167",54.783,2026/06/01 13:40:31+00,,,,,,,,,,,,,,,,,,,,,
2.120503,41.382269,"0","0","168",54.769,2026/06/01 13:40:37+00,,,,,,,,,,,,,,,,,,,,,
2.120479,41.382311,"0","0","169",54.844,2026/06/01 13:40:42+00,,,,,,,,,,,,,,,,,,,,,
2.120438,41.382345,"0","0","170",55.005,2026/06/01 13:40:47+00,,,,,,,,,,,,,,,,,,,,,
2.120384,41.382369,"0","0","171",55.115,2026/06/01 13:40:52+00,,,,,,,,,,,,,,,,,,,,,
2.12033,41.382398,"0","0","172",55.109,2026/06/01 13:40:58+00,,,,,,,,,,,,,,,,,,,,,
2.120268,41.382427,"0","0","173",55.196,2026/06/01 13:41:04+00,,,,,,,,,,,,,,,,,,,,,
2.120225,41.38246,"0","0","174",55.25,2026/06/01 13:41:09+00,,,,,,,,,,,,,,,,,,,,,
2.120167,41.382483,"0","0","175",55.311,2026/06/01 13:41:15+00,,,,,,,,,,,,,,,,,,,,,
2.120109,41.382503,"0","0","176",55.356,2026/06/01 13:41:22+00,,,,,,,,,,,,,,,,,,,,,
2.120043,41.382513,"0","0","177",55.43,2026/06/01 13:41:30+00,,,,,,,,,,,,,,,,,,,,,
2.119982,41.382523,"0","0","178",55.487,2026/06/01 13:41:44+00,,,,,,,,,,,,,,,,,,,,,
2.119945,41.382562,"0","0","179",55.468,2026/06/01 13:42:05+00,,,,,,,,,,,,,,,,,,,,,
2.119929,41.382611,"0","0","180",55.443,2026/06/01 13:42:13+00,,,,,,,,,,,,,,,,,,,,,
2.119933,41.382659,"0","0","181",55.489,2026/06/01 13:42:27+00,,,,,,,,,,,,,,,,,,,,,
2.1199,41.3827,"0","0","182",55.411,2026/06/01 13:42:35+00,,,,,,,,,,,,,,,,,,,,,
2.119867,41.382739,"0","0","183",55.521,2026/06/01 13:42:42+00,,,,,,,,,,,,,,,,,,,,,
2.119836,41.382778,"0","0","184",55.703,2026/06/01 13:42:48+00,,,,,,,,,,,,,,,,,,,,,
2.119787,41.382807,"0","0","185",55.909,2026/06/01 13:43:04+00,,,,,,,,,,,,,,,,,,,,,
2.119739,41.382844,"0","0","186",56.153,2026/06/01 13:43:13+00,,,,,,,,,,,,,,,,,,,,,
2.119796,41.382876,"0","0","187",56.237,2026/06/01 13:43:35+00,,,,,,,,,,,,,,,,,,,,,
2.119864,41.382881,"0","0","188",56.368,2026/06/01 13:43:43+00,,,,,,,,,,,,,,,,,,,,,
2.119931,41.382895,"0","0","189",56.523,2026/06/01 13:43:50+00,,,,,,,,,,,,,,,,,,,,,
2.119986,41.382915,"0","0","190",56.867,2026/06/01 13:43:55+00,,,,,,,,,,,,,,,,,,,,,
