latitude,longitude,elevation,time
41.382002,2.118631,50.438,2026-06-01 13:38:05.003000+00:00
41.382045,2.118606,50.783,2026-06-01 13:38:10.003000+00:00
41.382102,2.118595,50.889,2026-06-01 13:38:15.003000+00:00
41.382155,2.118601,50.906,2026-06-01 13:38:19.003000+00:00
41.382206,2.118594,51.126,2026-06-01 13:38:24.003000+00:00
41.382249,2.118572,51.309,2026-06-01 13:38:28.003000+00:00
41.3823,2.118547,51.68,2026-06-01 13:38:33.003000+00:00
41.382344,2.118509,52.014,2026-06-01 13:38:37.003000+00:00
41.382386,2.118473,52.675,2026-06-01 13:38:42.003000+00:00
41.38242,2.118429,53.39,2026-06-01 13:38:48.003000+00:00
41.382465,2.118465,54.064,2026-06-01 13:39:05.003000+00:00
41.382482,2.11853,54.022,2026-06-01 13:39:11.003000+00:00
41.382509,2.118479,54.329,2026-06-01 13:39:30.003000+00:00
41.382504,2.118407,54.332,2026-06-01 13:39:38.003000+00:00
41.382487,2.118348,54.397,2026-06-01 13:39:44.003000+00:00
41.382493,2.118282,54.392,2026-06-01 13:39:50.003000+00:00
41.382517,2.11822,54.473,2026-06-01 13:39:55.003000+00:00
41.382564,2.11821,54.62,2026-06-01 13:41:01.003000+00:00
41.382609,2.118222,55.009,2026-06-01 13:41:06.003000+00:00
41.382568,2.118196,55.161,2026-06-01 13:41:24.003000+00:00
41.3825,2.118099,55.295,2026-06-01 13:41:40.003000+00:00
41.382511,2.118032,54.916,2026-06-01 13:41:42.003000+00:00
41.382491,2.117967,54.921,2026-06-01 13:41:54.003000+00:00
41.382439,2.117954,54.815,2026-06-01 13:42:01.003000+00:00
41.382401,2.117915,54.773,2026-06-01 13:42:06.003000+00:00
41.382438,2.117875,54.74,2026-06-01 13:42:28.003000+00:00
41.382496,2.117866,54.753,2026-06-01 13:42:31.003000+00:00
41.382534,2.117905,54.788,2026-06-01 13:42:38.003000+00:00
41.382481,2.117911,54.736,2026-06-01 13:43:02.003000+00:00
41.382439,2.117934,54.717,2026-06-01 13:43:17.003000+00:00
41.382406,2.118139,54.718,2026-06-01 13:43:41.003000+00:00
41.382225,2.118667,55.009,2026-06-01 13:44:06.003000+00:00
41.382197,2.118728,55.025,2026-06-01 13:44:09.003000+00:00
41.382411,2.117659,55.139,2026-06-01 13:49:00.004000+00:00
41.382426,2.11774,55.06,2026-06-01 13:50:50.003000+00:00
41.382457,2.117694,55.155,2026-06-01 13:51:19.004000+00:00
41.382421,2.117657,55.989,2026-06-01 13:51:25.004000+00:00
41.382398,2.117593,56.757,2026-06-01 13:51:30.004000+00:00
41.382347,2.117562,56.814,2026-06-01 13:51:36.004000+00:00
41.3823,2.117542,56.997,2026-06-01 13:51:46.004000+00:00
41.382259,2.1175,57.082,2026-06-01 13:51:53.004000+00:00
41.382223,2.117464,57.112,2026-06-01 13:52:02.004000+00:00
41.382175,2.117497,57.332,2026-06-01 13:52:07.004000+00:00
41.382211,2.117457,57.605,2026-06-01 13:52:18.004000+00:00
41.382257,2.117461,57.809,2026-06-01 13:52:22.004000+00:00
41.382298,2.1175,58.133,2026-06-01 13:52:26.004000+00:00
41.382304,2.117569,58.177,2026-06-01 13:52:35.004000+00:00
41.382346,2.117604,58.118,2026-06-01 13:53:12.004000+00:00
41.382401,2.117621,58.393,2026-06-01 13:53:20.004000+00:00
41.382446,2.117633,58.497,2026-06-01 13:53:23.004000+00:00
41.382496,2.117647,58.425,2026-06-01 13:53:27.004000+00:00
41.382537,2.117696,58.312,2026-06-01 13:53:31.004000+00:00
41.382581,2.117729,58.335,2026-06-01 13:53:36.004000+00:00
41.382618,2.117776,58.35,2026-06-01 13:53:44.004000+00:00
41.382663,2.117779,58.293,2026-06-01 13:53:59.004000+00:00
41.382706,2.117811,58.165,2026-06-01 13:54:16.004000+00:00
41.382741,2.117861,57.721,2026-06-01 13:54:19.004000+00:00
41.382782,2.117886,57.409,2026-06-01 13:54:22.004000+00:00
41.382818,2.117923,57.451,2026-06-01 13:54:25.004000+00:00
41.382857,2.117961,57.465,2026-06-01 13:54:28.004000+00:00
